service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
26J-Globaux-01-S,1,1,1,1,1,0,0,20260105,20260320
26J-H50J000S-83-S,1,1,1,1,1,0,0,20260105,20260320
26J-H50J000S-83-SV,0,0,0,0,1,0,0,20260105,20260320
26J-H51J000S-80-S,1,1,1,1,1,0,0,20260105,20260320
26J-H51J000S-80-SV,0,0,0,0,1,0,0,20260105,20260320
26J-H54J000S-83-S,1,1,1,1,1,0,0,20260105,20260320
26J-H56J000S-80-S,1,1,1,1,1,0,0,20260105,20260320
26J-H57J000S-81-S,1,1,1,1,1,0,0,20260105,20260320
26J-H58J000S-81-S,1,1,1,1,1,0,0,20260105,20260203
26J-H59J000S-81-S,1,1,1,1,1,0,0,20260105,20260320
26J-H59J000S-81-SV,0,0,0,0,1,0,0,20260105,20260320
26J-H60J000S-98-S,1,1,1,1,1,0,0,20260105,20260320
26J-Globaux-03-A,0,0,0,0,0,1,0,20260110,20260321
26J-H50J000A-84-A,0,0,0,0,0,1,0,20260110,20260321
26J-H51J000A-82-A,0,0,0,0,0,1,0,20260110,20260321
26J-H54J000A-80-A,0,0,0,0,0,1,0,20260110,20260321
26J-H56J000A-80-A,0,0,0,0,0,1,0,20260110,20260321
26J-H57J000A-80-A,0,0,0,0,0,1,0,20260110,20260321
26J-H58J000A-83-A,0,0,0,0,0,1,0,20260110,20260321
26J-H59J000A-80-A,0,0,0,0,0,1,0,20260110,20260321
26J-H60J000A-80-A,0,0,0,0,0,1,0,20260110,20260321
26J-Globaux-01-I,0,0,0,0,0,0,1,20260111,20260322
26J-H50J000I-84-I,0,0,0,0,0,0,1,20260111,20260322
26J-H51J000I-82-I,0,0,0,0,0,0,1,20260111,20260322
26J-H54J000I-80-I,0,0,0,0,0,0,1,20260111,20260322
26J-H56J000I-80-I,0,0,0,0,0,0,1,20260111,20260322
26J-H57J000I-80-I,0,0,0,0,0,0,1,20260111,20260322
26J-H58J000I-81-I,0,0,0,0,0,0,1,20260111,20260201
26J-H59J000I-80-I,0,0,0,0,0,0,1,20260111,20260322
26J-H60J000I-80-I,0,0,0,0,0,0,1,20260111,20260322
26J-H58J000S-83-S,1,1,1,1,1,0,0,20260204,20260320
26J-H58J000I-82-I,0,0,0,0,0,0,1,20260208,20260322
26J-Globaux-02-A,0,0,0,0,0,1,0,20260228,20260228
26J-H50JV00S-82-S,1,1,1,1,1,0,0,20260302,20260306
26J-H50JV00S-82-SV,0,0,0,0,1,0,0,20260302,20260306
26J-H51JV00S-84-S,1,1,1,1,1,0,0,20260302,20260306
26J-H51JV00S-84-SV,0,0,0,0,1,0,0,20260302,20260306
26J-H54JV00S-80-S,1,1,1,1,1,0,0,20260302,20260306
26J-H56JV00S-80-S,1,1,1,1,1,0,0,20260302,20260306
26J-H57JV00S-83-S,1,1,1,1,1,0,0,20260302,20260306
26J-H58JV00S-82-S,1,1,1,1,1,0,0,20260302,20260306
26J-H59JV00S-83-S,1,1,1,1,1,0,0,20260302,20260306
26J-H59JV00S-83-SV,0,0,0,0,1,0,0,20260302,20260306
26J-H60JV00S-98-S,1,1,1,1,1,0,0,20260302,20260306
26J-H50JV00A-81-A,0,0,0,0,0,1,0,20260307,20260307
26J-H51JV00A-80-A,0,0,0,0,0,1,0,20260307,20260307
26J-H54JV00A-80-A,0,0,0,0,0,1,0,20260307,20260307
26J-H56JV00A-80-A,0,0,0,0,0,1,0,20260307,20260307
26J-H57JV00A-80-A,0,0,0,0,0,1,0,20260307,20260307
26J-H58JV00A-80-A,0,0,0,0,0,1,0,20260307,20260307
26J-H59JV00A-80-A,0,0,0,0,0,1,0,20260307,20260307
26J-H60JV00A-80-A,0,0,0,0,0,1,0,20260307,20260307
26J-H50JV00I-81-I,0,0,0,0,0,0,1,20260308,20260308
26J-H51JV00I-80-I,0,0,0,0,0,0,1,20260308,20260308
26J-H54JV00I-80-I,0,0,0,0,0,0,1,20260308,20260308
26J-H56JV00I-80-I,0,0,0,0,0,0,1,20260308,20260308
26J-H57JV00I-80-I,0,0,0,0,0,0,1,20260308,20260308
26J-H58JV00I-81-I,0,0,0,0,0,0,1,20260308,20260308
26J-H59JV00I-80-I,0,0,0,0,0,0,1,20260308,20260308
26J-H60JV00I-80-I,0,0,0,0,0,0,1,20260308,20260308
26M-GLOBAUX-02-S,1,1,1,1,1,0,0,20260323,20260612
26M-H50M000S-70-S,1,1,1,1,1,0,0,20260323,20260612
26M-H50M000S-70-SV,0,0,0,0,1,0,0,20260323,20260612
26M-H51M000S-70-S,1,1,1,1,1,0,0,20260323,20260612
26M-H51M000S-70-SV,0,0,0,0,1,0,0,20260323,20260612
26M-H54M000S-70-S,1,1,1,1,1,0,0,20260323,20260612
26M-H56M000S-70-S,1,1,1,1,1,0,0,20260323,20260612
26M-H57M000S-70-S,1,1,1,1,1,0,0,20260323,20260612
26M-H58M000S-70-S,1,1,1,1,1,0,0,20260323,20260612
26M-H59M000S-70-S,1,1,1,1,1,0,0,20260323,20260612
26M-H59M000S-70-SV,0,0,0,0,1,0,0,20260323,20260612
26M-H60M000S-71-S,1,1,1,1,1,0,0,20260323,20260612
26M-GLOBAUX-01-A,0,0,0,0,0,1,0,20260328,20260613
26M-H50M000A-70-A,0,0,0,0,0,1,0,20260328,20260613
26M-H51M000A-70-A,0,0,0,0,0,1,0,20260328,20260613
26M-H54M000A-70-A,0,0,0,0,0,1,0,20260328,20260613
26M-H56M000A-70-A,0,0,0,0,0,1,0,20260328,20260613
26M-H57M000A-70-A,0,0,0,0,0,1,0,20260328,20260613
26M-H58M000A-70-A,0,0,0,0,0,1,0,20260328,20260613
26M-H59M000A-70-A,0,0,0,0,0,1,0,20260328,20260613
26M-H60M000A-71-A,0,0,0,0,0,1,0,20260328,20260613
26M-GLOBAUX-01-I,0,0,0,0,0,0,1,20260329,20260614
26M-H50M000I-70-I,0,0,0,0,0,0,1,20260329,20260614
26M-H51M000I-70-I,0,0,0,0,0,0,1,20260329,20260614
26M-H54M000I-70-I,0,0,0,0,0,0,1,20260329,20260614
26M-H56M000I-70-I,0,0,0,0,0,0,1,20260329,20260614
26M-H57M000I-70-I,0,0,0,0,0,0,1,20260329,20260614
26M-H58M000I-70-I,0,0,0,0,0,0,1,20260329,20260614
26M-H59M000I-70-I,0,0,0,0,0,0,1,20260329,20260614
26M-H60M000I-71-I,0,0,0,0,0,0,1,20260329,20260614
26M-GLOBAUX-01-F1,0,0,0,0,1,0,0,20260403,20260403
26M-H50M100F-70-F1,0,0,0,0,1,0,0,20260403,20260403
26M-H51M100F-70-F1,0,0,0,0,1,0,0,20260403,20260403
26M-H54M100F-70-F1,0,0,0,0,1,0,0,20260403,20260403
26M-H56M100F-70-F1,0,0,0,0,1,0,0,20260403,20260403
26M-H57M100F-70-F1,0,0,0,0,1,0,0,20260403,20260403
26M-H58M100F-70-F1,0,0,0,0,1,0,0,20260403,20260403
26M-H59M100F-70-F1,0,0,0,0,1,0,0,20260403,20260403
26M-H60M100F-71-F1,0,0,0,0,1,0,0,20260403,20260403
26M-GLOBAUX-01-F2,1,0,0,0,0,0,0,20260406,20260406
26M-H50M200F-70-F2,1,0,0,0,0,0,0,20260406,20260406
26M-H51M200F-70-F2,1,0,0,0,0,0,0,20260406,20260406
26M-H54M200F-70-F2,1,0,0,0,0,0,0,20260406,20260406
26M-H56M200F-70-F2,1,0,0,0,0,0,0,20260406,20260406
26M-H57M200F-70-F2,1,0,0,0,0,0,0,20260406,20260406
26M-H58M200F-70-F2,1,0,0,0,0,0,0,20260406,20260406
26M-H59M200F-70-F2,1,0,0,0,0,0,0,20260406,20260406
26M-H60M200F-71-F2,1,0,0,0,0,0,0,20260406,20260406
26M-GLOBAUX-01-F3,1,0,0,0,0,0,0,20260518,20260518
26M-H50M300F-70-F3,1,0,0,0,0,0,0,20260518,20260518
26M-H51M300F-70-F3,1,0,0,0,0,0,0,20260518,20260518
26M-H54M300F-70-F3,1,0,0,0,0,0,0,20260518,20260518
26M-H56M300F-70-F3,1,0,0,0,0,0,0,20260518,20260518
26M-H57M300F-70-F3,1,0,0,0,0,0,0,20260518,20260518
26M-H58M300F-70-F3,1,0,0,0,0,0,0,20260518,20260518
26M-H59M300F-70-F3,1,0,0,0,0,0,0,20260518,20260518
26M-H60M300F-71-F3,1,0,0,0,0,0,0,20260518,20260518
