service_id,date,exception_type
26M-GLOBAUX-02-S,20260403,2
26M-GLOBAUX-02-S,20260406,2
26M-GLOBAUX-02-S,20260518,2
26J-Globaux-03-A,20260228,2
26J-H50J000A-84-A,20260307,2
26J-H50J000I-84-I,20260308,2
26J-H50J000S-83-S,20260302,2
26J-H50J000S-83-S,20260303,2
26J-H50J000S-83-S,20260304,2
26J-H50J000S-83-S,20260305,2
26J-H50J000S-83-S,20260306,2
26J-H50J000S-83-SV,20260306,2
26M-H50M000S-70-S,20260403,2
26M-H50M000S-70-SV,20260403,2
26M-H50M000S-70-S,20260406,2
26M-H50M000S-70-S,20260518,2
26J-H51J000A-82-A,20260307,2
26J-H51J000I-82-I,20260308,2
26J-H51J000S-80-S,20260302,2
26J-H51J000S-80-S,20260303,2
26J-H51J000S-80-S,20260304,2
26J-H51J000S-80-S,20260305,2
26J-H51J000S-80-S,20260306,2
26J-H51J000S-80-SV,20260306,2
26M-H51M000S-70-S,20260403,2
26M-H51M000S-70-SV,20260403,2
26M-H51M000S-70-S,20260406,2
26M-H51M000S-70-S,20260518,2
26J-H54J000A-80-A,20260307,2
26J-H54J000I-80-I,20260308,2
26J-H54J000S-83-S,20260302,2
26J-H54J000S-83-S,20260303,2
26J-H54J000S-83-S,20260304,2
26J-H54J000S-83-S,20260305,2
26J-H54J000S-83-S,20260306,2
26M-H54M000S-70-S,20260403,2
26M-H54M000S-70-S,20260406,2
26M-H54M000S-70-S,20260518,2
26J-H56J000A-80-A,20260307,2
26J-H56J000I-80-I,20260308,2
26J-H56J000S-80-S,20260302,2
26J-H56J000S-80-S,20260303,2
26J-H56J000S-80-S,20260304,2
26J-H56J000S-80-S,20260305,2
26J-H56J000S-80-S,20260306,2
26M-H56M000S-70-S,20260403,2
26M-H56M000S-70-S,20260406,2
26M-H56M000S-70-S,20260518,2
26J-H57J000A-80-A,20260307,2
26J-H57J000I-80-I,20260308,2
26J-H57J000S-81-S,20260302,2
26J-H57J000S-81-S,20260303,2
26J-H57J000S-81-S,20260304,2
26J-H57J000S-81-S,20260305,2
26J-H57J000S-81-S,20260306,2
26M-H57M000S-70-S,20260403,2
26M-H57M000S-70-S,20260406,2
26M-H57M000S-70-S,20260518,2
26J-H58J000A-83-A,20260307,2
26J-H58J000I-82-I,20260308,2
26J-H58J000S-83-S,20260302,2
26J-H58J000S-83-S,20260303,2
26J-H58J000S-83-S,20260304,2
26J-H58J000S-83-S,20260305,2
26J-H58J000S-83-S,20260306,2
26M-H58M000S-70-S,20260403,2
26M-H58M000S-70-S,20260406,2
26M-H58M000S-70-S,20260518,2
26J-H59J000A-80-A,20260307,2
26J-H59J000I-80-I,20260308,2
26J-H59J000S-81-S,20260302,2
26J-H59J000S-81-S,20260303,2
26J-H59J000S-81-S,20260304,2
26J-H59J000S-81-S,20260305,2
26J-H59J000S-81-S,20260306,2
26J-H59J000S-81-SV,20260306,2
26M-H59M000S-70-S,20260403,2
26M-H59M000S-70-SV,20260403,2
26M-H59M000S-70-S,20260406,2
26M-H59M000S-70-S,20260518,2
26J-H60J000A-80-A,20260307,2
26J-H60J000I-80-I,20260308,2
26J-H60J000S-98-S,20260302,2
26J-H60J000S-98-S,20260303,2
26J-H60J000S-98-S,20260304,2
26J-H60J000S-98-S,20260305,2
26J-H60J000S-98-S,20260306,2
26M-H60M000S-71-S,20260403,2
26M-H60M000S-71-S,20260406,2
26M-H60M000S-71-S,20260518,2
